"id","email","full_name"
96421,"murid317@smpn16bekasi.kp.id","Murid CCCXVII"
123602,"orangtua250@sdnegeridurenjayavi.kp.id","Orangtua"
112552,"orangtua67@sdntanjungbaru2.kp.id","orangtua LXVII"
84662,"guru14@sdnjaticempaka1.kp.id","Guru XIV"
55325,"orangtua69@smpn4cikarangbarat.kp.id","Orangtua"
148230,"orangtua69@sdnpasirtanjung03.kp.id","Orang Tua"
79181,"orangtua189@smpn31bekasi.kp.id","Orang Tua"
90027,"orangtua306@sdnkarangbahagia1.kp.id","orangtua CCCVI"
141198,"orangtua33@sdntamanrahayu02.kp.id","Murid XXXIII"
110134,"orangtua38@sdnegerikarangbaru01.kp.id","Orangtua XXXVIII"
102283,"orangtua180@sdnmuktiwari1.kp.id","orangtua CLXXX"
110333,"guru15@sdnegerikarangbaru01.kp.id","Guru XV"
94399,"orangtua353@smpn17bekasi.kp.id","Orangtua"
102435,"orangtua216@sdnmuktiwari1.kp.id","orangtua CCXVI"
121553,"orangtua76@sdnegeribojongrawalumbuvii.kp.id","Orangtua"
141561,"orangtua53@smpn5kediri.kp.id","Orang Tua"
102519,"orangtua236@sdnmuktiwari1.kp.id","orangtua CCXXXVI"
121613,"orangtua89@sdnegeribojongrawalumbuvii.kp.id","Orangtua"
133778,"orangtua90@sdnegerisukasejati01.kp.id","Orangtua XC"
106592,"orangtua346@sdnsumberjaya5.kp.id","orangtua CCCXLVI"
133804,"orangtua121@sdnegerisukasejati01.kp.id","Orangtua CXXI"
141653,"orangtua58@smpn5kediri.kp.id","Orang Tua"
86612,"orangtua32@sdncibuntu1.kp.id","orangtua XXXII"
118777,"orangtua6@sdntelagaasih04.kp.id","Orang Tua"
145798,"orangtua60@sdntridayasakti02.kp.id","Orang Tua LX"
86703,"orangtua55@sdncibuntu1.kp.id","orangtua LV"
102766,"orangtua64@sdnsertajaya1.kp.id","orangtua LXIV"
145878,"orangtua87@sdntridayasakti02.kp.id","Orang Tua LXXXVII"
138012,"orangtua19@sdnpadurenani.kp.id","Orangtua"
138015,"orangtua20@sdnpadurenani.kp.id","Orangtua"
100365,"orangtua242@sdnegerikarangsatria03.kp.id","Orangtua CCXLII"
107663,"murid32@sdnegerijayamulya01.kp.id","Murid XXXII"
74107,"murid132@smpn36bekasi.kp.id","Murid CXXXII"
85901,"murid70@sdkarangsambung3.kp.id","Murid LXX"
138624,"murid160@sdnpadurenani.kp.id","Murid CLX"
118746,"murid2@sdntelagaasih04.kp.id","Murid II"
105979,"murid198@sdnsumberjaya5.kp.id","Murid CXCVIII"
144478,"murid326@sdntelagaasih04.kp.id","Murid CCCXXVI"
109313,"murid120@sdnegerijayasampurna01.kp.id","Murid CXX"
74906,"murid209@smpn36bekasi.kp.id","Murid CCIX"
146848,"murid321@sdnkarangsambung02.kp.id","Murid 321"
122647,"murid7@sdnegeridurenjayavi.kp.id","Murid VII"
78835,"orangtua102@smpn31bekasi.kp.id","Orang Tua"
143383,"murid253@smpn1kediri.kp.id","Murid CCLIII"
142268,"murid14@smpn1kediri.kp.id","Murid XIV"
145217,"parent495@sdntelagaasih04.kp.id","Orangtua CDXCV"
145255,"parent499@sdntelagaasih04.kp.id","Orangtua CDXCIX"
103034,"murid115@sdnsertajaya1.kp.id","Murid CXV"
13239283,"siswa140@smkn10kotabekasi.kp.id","Siswa CXL"
101424,"murid94@sdnmekarwangi1.kp.id","Murid XCIV"
139799,"murid112@smpnsatuatapsetu.kp.id","Murid CXII"
142394,"murid37@smpn1kediri.kp.id","I gd md Dimas dwi n.(Tamvan)"
142996,"murid155@smpn1kediri.kp.id","Ni Made Lyntia Sista Paramita"
118214,"murid44@sdnmekarwangi04.kp.id","Murid XLIV"
57217,"orangtua67@smpn1setu.kp.id","Orangtua"
56597,"orangtua69@smpn4cikarangbarat.kp.id","Orangtua"
102626,"guru34@sdnmuktiwari1.kp.id","guru XXXIV"
79615,"guru30@smpn31bekasi.kp.id","Guru XXX"
123465,"murid213@sdnegeridurenjayavi.kp.id","Murid CCXIII"
102285,"orangtua180@sdnmuktiwari1.kp.id","orangtua CLXXX"
141383,"orangtua79@sdntamanrahayu02.kp.id","Murid LXXIX"
103318,"murid27@sdnsukaresmi5.kp.id","Murid XXVII"
139413,"orangtua72@smpnsatuatapsetu.kp.id","Orangtua"
57391,"orangtua155@smpn1setu.kp.id","Orangtua"
135367,"murid103@smpn6setu.kp.id","Murid CIII"
135274,"murid103@smpn6setu.kp.id","Murid CIII"
104659,"murid359@sdnsukaresmi5.kp.id","Murid CCCLIX"
55773,"orangtua294@smpn4cikarangbarat.kp.id","Orangtua"
86973,"murid124@sdncibuntu1.kp.id","Murid CXXIV"
141403,"guru12@sdntamanrahayu02.kp.id","Guru XII"
141411,"guru16@sdntamanrahayu02.kp.id","Guru XVI"
93534,"orangtua120@smpn17bekasi.kp.id","Orangtua"
99979,"orangtua134@sdnegerikarangsatria03.kp.id","Orangtua CXXXIV"
724282,"haurarezagil@gmail.com","Haura Areza Gilba"
104615,"murid337@sdnsukaresmi5.kp.id","Murid CCCXXXVII"
91237,"murid305@sdnkarangbahagia1.kp.id","Murid CCCV"
94997,"murid23@smpn16bekasi.kp.id","Murid XXIII"
127924,"murid6@sdnegeriperwirai.kp.id","Murid VI"
723610,"siswa140@smkn10kotabekasi.kp.id","Siswa CXL"
133456,"murid19@sdnegerisukasejati01.kp.id","Murid XIX"
133852,"murid133@sdnegerisukasejati01.kp.id","Murid CXXXIII"
107319,"murid83@sdntambun3.kp.id","Murid LXXXIII"
120882,"orangtua1@smapgri3surabaya.kp.id","Orang Tua"
57734,"murid326@smpn1setu.kp.id","Murid CCCXXVI"
127966,"murid17@sdnegeriperwirai.kp.id","Murid XVII"
12690543,"haurarezagil@gmail.com","Haura Areza Gilba"
112210,"orangtua11@sdntanjungbaru2.kp.id","orangtua XI"
112999,"murid20@sdncibuntu03.kp.id","Murid XX"
141421,"guru21@sdntamanrahayu02.kp.id","Guru XXI"
78859,"orangtua106@smpn31bekasi.kp.id","Orang Tua"
133549,"murid49@sdnegerisukasejati01.kp.id","Murid XLIX"
109343,"murid125@sdnegerijayasampurna01.kp.id","Murid CXXV"
112913,"murid5@sdncibuntu03.kp.id","Murid V"
112351,"murid37@sdntanjungbaru2.kp.id","Murid XXXVII"
104569,"murid314@sdnsukaresmi5.kp.id","Murid CCCXIV"
95760,"murid155@smpn16bekasi.kp.id","Murid CLV"
142390,"murid266@smpn1kediri.kp.id","Murid CCLXVI"
60077,"murid331@smpn1setu.kp.id","Murid CCCXXXI"
138050,"murid16@sdnpadurenani.kp.id","Murid XVI"
101457,"murid94@sdnmekarwangi1.kp.id","Murid XCIV"
87807,"murid645@sdnjatibeningi.kp.id","Murid DCXLV"
99283,"murid25@sdnegerikarangsatria03.kp.id","Murid XXV"
90283,"murid340@sdnkarangbahagia1.kp.id","Murid CCCXL"
101552,"orangtua253@sdnmuktiwari1.kp.id","orangtua CCLIII"
140765,"murid94@sdntamanrahayu01.kp.id","Murid XCIV"
147872,"guru28@sdnpasirtanjung03.kp.id","Guru XXVIII"
103151,"guru26@sdnsertajaya1.kp.id","guru XXVI"
89533,"guru8@sdncibuntu7.kp.id","guru VIII"
124258,"orangtua10@sdnegerijaticempakavi.kp.id","Orangtua"
138252,"murid52@sdnpadurenani.kp.id","Murid LII"
107588,"murid90@sdnegerijayamulya01.kp.id","Murid XC"
57045,"orangtua294@smpn4cikarangbarat.kp.id","Orangtua"
145560,"guru79@sdntelagaasih04.kp.id","Guru LXXIX"
73999,"orangtua16@smpn36bekasi.kp.id","Orang Tua"
127938,"murid10@sdnegeriperwirai.kp.id","Murid X"
87291,"murid547@sdnjatibeningi.kp.id","Murid DXLVII"
57680,"murid299@smpn1setu.kp.id","Murid CCXCIX"
58003,"guru41@smpn1setu.kp.id","Guru XLI"
60350,"guru55@smpn1setu.kp.id","Guru LV"
60339,"guru44@smpn1setu.kp.id","Guru XLIV"
135168,"murid67@smpn6setu.kp.id","Murid LXVII"
87293,"murid547@sdnjatibeningi.kp.id","Murid DXLVII"
101530,"orangtua2@sdnmuktiwari1.kp.id","orangtua II"
50938,"orangtua23@sdnwanasari09.kp.id","Orang Tua"
87707,"parent627@sdnjatibeningi.kp.id","Orangtua DCXXVII"
118706,"guru37@sdnmekarwangi04.kp.id","Guru XXXVII"
87773,"parent622@sdnjatibeningi.kp.id","Orangtua DCXXII"
90405,"orangtua84@sdnkarangbahagia1.kp.id","orangtua LXXXIV"
75223,"guru39@smpn36bekasi.kp.id","Guru XXXIX"
72640,"murid111@sdnperwira3.kp.id","Murid CXI"
90378,"murid79@sdnkarangbahagia1.kp.id","Murid LXXIX"
133785,"murid115@sdnegerisukasejati01.kp.id","Murid CXV"
133945,"murid133@sdnegerisukasejati01.kp.id","Murid CXXXIII"
59891,"murid238@smpn1setu.kp.id","Murid CCXXXVIII"
140340,"guru3@sdntanjungbaru03.kp.id","Guru III"
56679,"orangtua111@smpn4cikarangbarat.kp.id","Orangtua"
142491,"orangtua51@smpn1kediri.kp.id","Orang Tua"
146859,"orangtua25@sdnkarangsambung02.kp.id","Orangtua CLXXIV"
145035,"parent444@sdntelagaasih04.kp.id","Orangtua CDXLIV"
57462,"murid190@smpn1setu.kp.id","Murid CXC"
78497,"orangtua16@smpn31bekasi.kp.id","Orang Tua"
133753,"murid84@sdnegerisukasejati01.kp.id","Murid LXXXIV"
144205,"guru2@sdn8banjaranyar.kp.id","Guru II"
109479,"murid162@sdnegerijayasampurna01.kp.id","Murid CLXII"
79354,"murid232@smpn31bekasi.kp.id","Murid CCXXXII"
94462,"orangtua369@smpn17bekasi.kp.id",""
115134,"orangtua259@sdntridayasakti02.kp.id","Orang Tua"
87148,"parent524@sdnjatibeningi.kp.id","Orangtua DXXIV"
136656,"kepsek1@sdnsumberurip01.kp.id","Kepsek I"
88508,"murid3@sdncibuntu3.kp.id","Murid III"
108451,"orangtua205@sdnegerijayamulya01.kp.id","Orangtua CCV"
